NLC,Origin TLC,Station Name,Government Office Region (GOR),County or Unitary Authority,District or Unitary Authority,NUTS2 Spatial_Unit Code,NUTS2 Spatial Unit,Station Facility Owner,Station Group,PTE Urban Area Station,London Travelcard Area,Entries Full,Entries Reduced,Entries Season,Entries Total,Exits Full,Exits Reduced,Exits Season,Exits Total,1112 Entries & Exits,"1011
Entries & Exits",Interchanges,Large station Flag,Small Station Flag,Explanation of large change,Sources
5131,ABW,Abbey Wood,London,Greater London,Greenwich,UKI2,Outer London,Southeastern,,,London Travelcard Area Station," 274,204 "," 385,667 "," 907,266 "," 1,567,137 "," 274,204 "," 385,667 "," 907,266 "," 1,567,137 "," 3,134,274 "," 3,030,212 ", -   ,0,0,,
3813,ABE,Aber,Wales - Cymru,Caerphilly - Caerffili,Caerphilly - Caerffili,UKL1,West Wales and the Valleys,Arriva Trains Wales,,,," 48,670 "," 4,852 "," 48,206 "," 101,728 "," 48,670 "," 4,852 "," 48,206 "," 101,728 "," 203,456 "," 202,486 ", -   ,0,0,,
3801,ACY,Abercynon,Wales - Cymru,Rhondda Cynon Taff - Rhondda Cynon Taf,Rhondda Cynon Taff - Rhondda Cynon Taf,UKL1,West Wales and the Valleys,Arriva Trains Wales,,,," 77,667 "," 5,163 "," 37,205 "," 120,035 "," 77,667 "," 5,163 "," 37,205 "," 120,035 "," 240,070 "," 214,492 "," 35,304 ",1,0,Continues high growth from previous year,
3982,ABA,Aberdare,Wales - Cymru,Rhondda Cynon Taff - Rhondda Cynon Taf,Rhondda Cynon Taff - Rhondda Cynon Taf,UKL1,West Wales and the Valleys,Arriva Trains Wales,,,," 164,324 "," 17,853 "," 86,597 "," 268,774 "," 164,324 "," 17,853 "," 86,597 "," 268,774 "," 537,548 "," 524,592 ", -   ,0,0,,
8976,ABD,Aberdeen,Scotland,Aberdeen City,Aberdeen City,UKM1,North Eastern Scotland,First ScotRail,,,," 500,499 "," 829,571 "," 255,043 "," 1,585,113 "," 500,499 "," 829,571 "," 255,043 "," 1,585,113 "," 3,170,226 "," 2,964,302 "," 197,046 ",0,0,,
9090,AUR,Aberdour,Scotland,Fife,Fife,UKM2,Eastern Scotland,First ScotRail,,,," 17,111 "," 28,489 "," 17,403 "," 63,003 "," 17,111 "," 28,489 "," 17,403 "," 63,003 "," 126,006 "," 129,786 ", -   ,0,0,,
4435,AVY,Aberdovey,Wales - Cymru,Gwynedd - Gwynedd,Gwynedd - Gwynedd,UKL1,West Wales and the Valleys,Arriva Trains Wales,,,," 12,854 "," 5,494 ", -   ," 18,348 "," 12,854 "," 5,494 ", -   ," 18,348 "," 36,696 "," 32,190 ", -   ,1,0,Continues high growth from previous year,
4440,ABH,Abererch,Wales - Cymru,Gwynedd - Gwynedd,Gwynedd - Gwynedd,UKL1,West Wales and the Valleys,Arriva Trains Wales,,,, 631 , 262 , -   , 893 , 631 , 262 , -   , 893 ," 1,786 "," 1,620 ", -   ,0,0,,
3602,AGV,Abergavenny,Wales - Cymru,Monmouthshire - Sir Fynwy,Monmouthshire - Sir Fynwy,UKL2,East Wales,Arriva Trains Wales,,,," 92,683 "," 63,921 "," 28,994 "," 185,598 "," 92,683 "," 63,921 "," 28,994 "," 185,598 "," 371,196 "," 357,326 ", -   ,0,0,,
2448,AGL,Abergele & Pensarn,Wales - Cymru,Conwy - Conwy,Conwy - Conwy,UKL1,West Wales and the Valleys,Arriva Trains Wales,,,," 23,144 "," 15,276 "," 3,824 "," 42,244 "," 23,144 "," 15,276 "," 3,824 "," 42,244 "," 84,488 "," 76,650 ", -   ,1,0,Continues high growth from previous year,
4303,AYW,Aberystwyth,Wales - Cymru,Ceredigion - Sir Ceredigion,Ceredigion - Sir Ceredigion,UKL1,West Wales and the Valleys,Arriva Trains Wales,,,," 67,782 "," 95,005 ", 350 ," 163,137 "," 67,782 "," 95,005 ", 350 ," 163,137 "," 326,274 "," 310,870 ", -   ,0,0,,
2552,ACR,Accrington,North West,Lancashire,Hyndburn,UKD4,Lancashire,Northern Rail,,,," 109,350 "," 38,541 "," 24,933 "," 172,824 "," 109,350 "," 38,541 "," 24,933 "," 172,824 "," 345,648 "," 313,382 ", -   ,1,0,Continues high growth from previous year,
8600,AAT,Achanalt,Scotland,Highland,Highland,UKM4,Highlands and Islands,First ScotRail,,,, 57 , 25 , -   , 82 , 57 , 25 , -   , 82 , 164 , 200 , -   ,0,0,,
8601,ACN,Achnasheen,Scotland,Highland,Highland,UKM4,Highlands and Islands,First ScotRail,,,," 1,111 ", 889 , -   ," 2,000 "," 1,111 ", 889 , -   ," 2,000 "," 4,000 "," 3,698 ", -   ,0,0,,
8602,ACH,Achnashellach,Scotland,Highland,Highland,UKM4,Highlands and Islands,First ScotRail,,,, 352 , 190 , -   , 542 , 352 , 190 , -   , 542 ," 1,084 ", 738 , -   ,0,1,Very small absolute number of entries and exits,
7662,ACK,Acklington,North East,Northumberland,Alnwick,UKC2,Northumberland and Tyne and Wear,Northern Rail,,,, 81 , 15 , -   , 96 , 81 , 15 , -   , 96 , 192 , 108 , -   ,0,1,Very small absolute number of entries and exits,
7286,ACL,Acle,East,Norfolk,Broadland,UKH1,East Anglia,National Express East Anglia,,,," 9,195 "," 13,056 "," 4,047 "," 26,298 "," 9,195 "," 13,056 "," 4,047 "," 26,298 "," 52,596 "," 48,170 ", -   ,0,0,,
4529,ACG,Acocks Green,West Midlands,West Midlands,Birmingham,UKG3,West Midlands,London Midland Trains,,West Midlands,," 43,828 "," 68,079 "," 74,258 "," 186,165 "," 43,828 "," 68,079 "," 74,258 "," 186,165 "," 372,330 "," 381,938 ", -   ,0,0,,
2287,ACB,Acton Bridge,North West,Cheshire,Vale Royal,UKD2,Cheshire,London Midland Trains,,,," 4,094 "," 1,531 "," 4,397 "," 10,022 "," 4,094 "," 1,531 "," 4,397 "," 10,022 "," 20,044 "," 17,242 ", -   ,1,0,Continues high growth from previous year,
1404,ACC,Acton Central,London,Greater London,Ealing,UKI2,Outer London,London Overground,,,London Travelcard Area Station," 165,701 "," 211,420 "," 531,886 "," 909,007 "," 165,701 "," 211,420 "," 531,886 "," 909,007 "," 1,818,014 "," 1,339,536 ", -   ,1,0,Further improvements to Overground service including completition of link between North and East branches  in February 2011 driving continued large increases in demand,http://www.tfl.gov.uk/corporate/projectsandschemes/15397.aspx
3000,AML,Acton Main Line,London,Greater London,Ealing,UKI2,Outer London,First Great Western,,,London Travelcard Area Station," 26,777 "," 26,792 "," 121,249 "," 174,818 "," 26,777 "," 26,792 "," 121,249 "," 174,818 "," 349,636 "," 346,756 ", -   ,0,0,,
1036,ADD,Adderley Park,West Midlands,West Midlands,Birmingham,UKG3,West Midlands,London Midland Trains,,West Midlands,," 5,538 "," 6,179 "," 14,804 "," 26,521 "," 5,538 "," 6,179 "," 14,804 "," 26,521 "," 53,042 "," 31,048 ", -   ,1,0,"Main portion of increase due to improved demand estimation in Centro area (extra 19,000 entries and exits in Centro infill compared to what would have been estimated using previous methodology)",
9310,ADW,Addiewell,Scotland,West Lothian,West Lothian,UKM2,Eastern Scotland,First ScotRail,,,," 3,755 "," 6,197 "," 2,149 "," 12,101 "," 3,755 "," 6,197 "," 2,149 "," 12,101 "," 24,202 "," 22,868 ", -   ,0,0,,
5550,ASN,Addlestone,South East,Surrey,Runnymede,UKJ2,"Surrey, East & West Sussex",South West Trains,,,," 65,841 "," 47,099 "," 69,946 "," 182,886 "," 65,841 "," 47,099 "," 69,946 "," 182,886 "," 365,772 "," 378,412 ", -   ,0,0,,
5160,ADM,Adisham,South East,Kent,Canterbury,UKJ4,Kent,Southeastern,,,," 2,812 "," 4,604 "," 8,608 "," 16,024 "," 2,812 "," 4,604 "," 8,608 "," 16,024 "," 32,048 "," 36,938 ", -   ,1,0,Continues decline in passengers seen over a number of years. Recent decline likely linked to introduction of HS1 services,
2939,ADC,Adlington (Cheshire),North West,Cheshire,Macclesfield,UKD2,Cheshire,Northern Rail,,,," 4,149 "," 3,427 ", 835 ," 8,411 "," 4,149 "," 3,427 ", 835 ," 8,411 "," 16,822 "," 15,852 ", -   ,0,0,,
2641,ADL,Adlington (Lancashire),North West,Lancashire,Chorley,UKD4,Lancashire,Northern Rail,,,," 25,655 "," 13,408 "," 15,910 "," 54,973 "," 25,655 "," 13,408 "," 15,910 "," 54,973 "," 109,946 "," 104,910 ", -   ,0,0,,
8353,AWK,Adwick,Yorkshire And The Humber,South Yorkshire,Doncaster,UKE3,South Yorkshire,Northern Rail,,South Yorkshire,," 53,497 "," 28,877 "," 46,566 "," 128,940 "," 53,497 "," 28,877 "," 46,566 "," 128,940 "," 257,880 "," 247,964 ", -   ,0,0,,
2255,AIG,Aigburth,North West,Merseyside,Liverpool,UKD5,Merseyside,Merseyrail,,Merseyside,," 105,210 "," 143,160 "," 102,714 "," 351,084 "," 105,210 "," 143,160 "," 102,714 "," 351,084 "," 702,168 "," 681,774 ", -   ,0,0,,
2350,ANS,Ainsdale,North West,Merseyside,Sefton,UKD5,Merseyside,Merseyrail,,Merseyside,," 150,701 "," 213,199 "," 116,439 "," 480,339 "," 150,701 "," 213,199 "," 116,439 "," 480,339 "," 960,678 "," 972,616 ", -   ,0,0,,
2125,AIN,Aintree,North West,Merseyside,Sefton,UKD5,Merseyside,Merseyrail,,Merseyside,," 169,452 "," 251,752 "," 152,444 "," 573,648 "," 169,452 "," 251,752 "," 152,444 "," 573,648 "," 1,147,296 "," 1,197,258 ", -   ,0,0,,
9695,AIR,Airbles,Scotland,North Lanarkshire,North Lanarkshire,UKM3,South Western Scotland,First ScotRail,,Strathclyde,," 21,032 "," 21,756 "," 12,260 "," 55,048 "," 21,032 "," 21,756 "," 12,260 "," 55,048 "," 110,096 "," 107,862 ", -   ,0,0,,
9759,ADR,Airdrie,Scotland,North Lanarkshire,North Lanarkshire,UKM3,South Western Scotland,First ScotRail,,Strathclyde,," 180,334 "," 171,314 "," 227,674 "," 579,322 "," 180,334 "," 171,314 "," 227,674 "," 579,322 "," 1,158,644 "," 1,191,156 ", -   ,0,0,,
5132,AYP,Albany Park,London,Greater London,Bexley,UKI2,Outer London,Southeastern,,,London Travelcard Area Station," 79,039 "," 71,892 "," 308,003 "," 458,934 "," 79,039 "," 71,892 "," 308,003 "," 458,934 "," 917,868 "," 913,852 ", -   ,0,0,,
4614,ALB,Albrighton,West Midlands,Shropshire,Bridgnorth,UKG2,Shropshire and Staffordshire,London Midland Trains,,West Midlands,," 17,347 "," 17,656 "," 17,400 "," 52,403 "," 17,347 "," 17,656 "," 17,400 "," 52,403 "," 104,806 "," 79,232 ", -   ,1,0,"Main portion of increase due to improved demand estimation in Centro area (extra 7,000 entries and exits in Centro infill compared to what would have been estimated using previous methodology)",
2760,ALD,Alderley Edge,North West,Cheshire,Macclesfield,UKD2,Cheshire,Northern Rail,,,," 40,320 "," 43,977 "," 25,160 "," 109,457 "," 40,320 "," 43,977 "," 25,160 "," 109,457 "," 218,914 "," 202,426 ", -   ,0,0,,
3145,AMT,Aldermaston,South East,West Berkshire,West Berkshire,UKJ1,"Berkshire, Buckinghamshire and Oxfordshire",First Great Western,,,," 7,763 "," 12,255 "," 11,885 "," 31,903 "," 7,763 "," 12,255 "," 11,885 "," 31,903 "," 63,806 "," 61,292 ", -   ,0,0,,
5623,AHT,Aldershot,South East,Hampshire,Rushmoor,UKJ3,Hampshire and Isle of Wight,South West Trains,,,," 219,181 "," 288,170 "," 228,223 "," 735,574 "," 219,181 "," 288,170 "," 228,223 "," 735,574 "," 1,471,148 "," 1,492,704 "," 147,896 ",0,0,,
5280,AGT,Aldrington,South East,Brighton And Hove,Brighton And Hove,UKJ2,"Surrey, East & West Sussex",Southern,,,," 19,892 "," 36,552 "," 39,034 "," 95,478 "," 19,892 "," 36,552 "," 39,034 "," 95,478 "," 190,956 "," 169,266 ", -   ,1,0,Cause of large increase not clear,
6025,AAP,Alexandra Palace,London,Greater London,Haringey,UKI1,Inner London,First Capital Connect,,,London Travelcard Area Station," 121,868 "," 133,835 "," 322,938 "," 578,641 "," 121,868 "," 133,835 "," 322,938 "," 578,641 "," 1,157,282 "," 1,114,960 "," 56,050 ",0,0,,
9905,AXP,Alexandra Parade,Scotland,Glasgow City,Glasgow City,UKM3,South Western Scotland,First ScotRail,,Strathclyde,," 40,121 "," 30,659 "," 20,332 "," 91,112 "," 40,121 "," 30,659 "," 20,332 "," 91,112 "," 182,224 "," 157,348 ", -   ,1,0,Continues high growth from previous year,
9861,ALX,Alexandria,Scotland,West Dunbartonshire,West Dunbartonshire,UKM3,South Western Scotland,First ScotRail,,Strathclyde,," 51,664 "," 57,399 "," 65,148 "," 174,211 "," 51,664 "," 57,399 "," 65,148 "," 174,211 "," 348,422 "," 346,556 ", -   ,0,0,,
1805,ALF,Alfreton,East Midlands,Derbyshire,Amber Valley,UKF1,Derbyshire and Nottinghamshire,East Midlands Trains,,,," 46,896 "," 43,244 "," 15,813 "," 105,953 "," 46,896 "," 43,244 "," 15,813 "," 105,953 "," 211,906 "," 205,306 ", -   ,0,0,,
7520,ALW,Allen's West,North East,Stockton-On-Tees,Stockton-On-Tees,UKC1,Tees Valley and Durham,Northern Rail,,,," 20,327 "," 2,736 "," 8,752 "," 31,815 "," 20,327 "," 2,736 "," 8,752 "," 31,815 "," 63,630 "," 59,174 ", -   ,0,0,,
9883,ALO,Alloa,Scotland,Clackmannan,Clackmannan,UKM2,Eastern Scotland,First ScotRail,,,," 50,196 "," 114,030 "," 36,346 "," 200,572 "," 50,196 "," 114,030 "," 36,346 "," 200,572 "," 401,144 "," 394,326 ", -   ,0,0,,
8605,ASS,Alness,Scotland,Highland,Highland,UKM4,Highlands and Islands,First ScotRail,,,," 8,352 "," 2,251 "," 2,145 "," 12,748 "," 8,352 "," 2,251 "," 2,145 "," 12,748 "," 25,496 "," 17,782 ", -   ,1,0,Continues high growth from previous year,
7787,ALM,Alnmouth,North East,Northumberland,Alnwick,UKC2,Northumberland and Tyne and Wear,Northern Rail,,,," 47,258 "," 60,309 "," 20,401 "," 127,968 "," 47,258 "," 60,309 "," 20,401 "," 127,968 "," 255,936 "," 214,230 "," 1,528 ",1,0,Continues substantial growth seen in previous year and likely to partially be due to benefits of new station car park completed in 2011,http://www.journallive.co.uk/northumberland-sites/alnwick-northumberland/alnwick-news/2011/03/03/new-alnmouth-station-car-park-declared-open-61634-28271606/
6847,ALR,Alresford,East,Essex,Tendring,UKH3,Essex,National Express East Anglia,,,," 5,365 "," 5,055 "," 18,946 "," 29,366 "," 5,365 "," 5,055 "," 18,946 "," 29,366 "," 58,732 "," 62,516 ", -   ,0,0,,
1223,ASG,Alsager,North West,Cheshire,Congleton,UKD2,Cheshire,East Midlands Trains,,,," 26,104 "," 10,202 "," 6,400 "," 42,706 "," 26,104 "," 10,202 "," 6,400 "," 42,706 "," 85,412 "," 74,474 ", -   ,1,0,Continues high growth from previous year,
6869,ALN,Althorne,East,Essex,Maldon,UKH3,Essex,National Express East Anglia,,,," 3,831 "," 3,173 "," 11,499 "," 18,503 "," 3,831 "," 3,173 "," 11,499 "," 18,503 "," 37,006 "," 36,708 ", -   ,0,0,,
6532,ALP,Althorpe,Yorkshire And The Humber,North Lincolnshire,North Lincolnshire,UKE1,East Riding and North Linconshire,Northern Rail,,,," 1,248 "," 2,410 ", 991 ," 4,649 "," 1,248 "," 2,410 ", 991 ," 4,649 "," 9,298 "," 8,430 ", -   ,0,0,,
8606,ABC,Altnabreac,Scotland,Highland,Highland,UKM4,Highlands and Islands,First ScotRail,,,, 109 , 10 , -   , 119 , 109 , 10 , -   , 119 , 238 , 172 , -   ,0,1,Very small absolute number of entries and exits,
5544,AON,Alton,South East,Hampshire,East Hampshire,UKJ3,Hampshire and Isle of Wight,South West Trains,,,," 80,513 "," 112,826 "," 165,559 "," 358,898 "," 80,513 "," 112,826 "," 165,559 "," 358,898 "," 717,796 "," 720,478 ", -   ,0,0,,
2806,ALT,Altrincham,North West,Greater Manchester,Trafford,UKD3,Greater Manchester,Northern Rail,,Greater Manchester,," 51,723 "," 79,593 "," 99,977 "," 231,293 "," 51,723 "," 79,593 "," 99,977 "," 231,293 "," 462,586 "," 476,526 ", 3 ,0,0,,
1198,ALV,Alvechurch,West Midlands,Worcestershire,Bromsgrove,UKG1,"Herefordshire, Worcestershire and Warwickshire",London Midland Trains,,West Midlands,," 32,745 "," 14,658 "," 33,195 "," 80,598 "," 32,745 "," 14,658 "," 33,195 "," 80,598 "," 161,196 "," 137,552 ", -   ,1,0,"Main portion of increase due to improved demand estimation in Centro area (extra 15,000 entries and exits in Centro infill compared to what would have been estimated using previous methodology)",
1678,AMB,Ambergate,East Midlands,Derbyshire,Amber Valley,UKF1,Derbyshire and Nottinghamshire,East Midlands Trains,,,," 6,017 "," 11,822 "," 2,140 "," 19,979 "," 6,017 "," 11,822 "," 2,140 "," 19,979 "," 39,958 "," 39,600 ", -   ,0,0,,
5250,AMY,Amberley,South East,West Sussex,Horsham,UKJ2,"Surrey, East & West Sussex",Southern,,,," 5,470 "," 14,905 "," 10,164 "," 30,539 "," 5,470 "," 14,905 "," 10,164 "," 30,539 "," 61,078 "," 48,994 ", -   ,1,0,Cause of large increase not clear,
506,AMR,Amersham,South East,Buckinghamshire,Chiltern,UKJ1,"Berkshire, Buckinghamshire and Oxfordshire",London Underground,,,," 305,128 "," 320,585 "," 266,300 "," 892,013 "," 305,128 "," 320,585 "," 266,300 "," 892,013 "," 1,784,026 "," 1,713,718 ", -   ,0,0,,
4236,AMF,Ammanford,Wales - Cymru,Carmarthenshire - Sir Gaerfyrddin,Carmarthenshire - Sir Gaerfyrddin,UKL1,West Wales and the Valleys,Arriva Trains Wales,,,," 5,905 "," 3,084 ", 457 ," 9,446 "," 5,905 "," 3,084 ", 457 ," 9,446 "," 18,892 "," 19,256 ", -   ,0,0,,
6358,ANC,Ancaster,East Midlands,Lincolnshire,South Kesteven,UKF3,Lincolnshire,East Midlands Trains,,,," 1,187 ", 300 , 535 ," 2,022 "," 1,187 ", 300 , 535 ," 2,022 "," 4,044 "," 4,388 ", -   ,0,0,,
9965,AND,Anderston,Scotland,Glasgow City,Glasgow City,UKM3,South Western Scotland,First ScotRail,,Strathclyde,," 94,424 "," 40,150 "," 189,016 "," 323,590 "," 94,424 "," 40,150 "," 189,016 "," 323,590 "," 647,180 "," 576,912 ", -   ,1,0,Ticket barriers introduced in June 2011,http://en.wikipedia.org/wiki/Anderston_railway_station
5510,ADV,Andover,South East,Hampshire,Test Valley,UKJ3,Hampshire and Isle of Wight,South West Trains,,,," 114,572 "," 216,691 "," 236,908 "," 568,171 "," 114,572 "," 216,691 "," 236,908 "," 568,171 "," 1,136,342 "," 1,089,684 "," 1,050 ",0,0,,
5397,ANY,Anerley,London,Greater London,Bromley,UKI2,Outer London,London Overground,,,London Travelcard Area Station," 70,659 "," 100,703 "," 142,963 "," 314,325 "," 70,659 "," 100,703 "," 142,963 "," 314,325 "," 628,650 "," 508,902 ", -   ,1,0,Continued growth from improved East London line service,
6909,AGR,Angel Road,London,Greater London,Enfield,UKI2,Outer London,National Express East Anglia,,,London Travelcard Area Station," 3,745 "," 1,737 "," 8,639 "," 14,121 "," 3,745 "," 1,737 "," 8,639 "," 14,121 "," 28,242 "," 28,646 ", -   ,0,0,,
5267,ANG,Angmering,South East,West Sussex,Arun,UKJ2,"Surrey, East & West Sussex",Southern,,,," 75,262 "," 199,485 "," 134,979 "," 409,726 "," 75,262 "," 199,485 "," 134,979 "," 409,726 "," 819,452 "," 764,818 ", -   ,0,0,,
9451,ANN,Annan,Scotland,Dumfries And Galloway,Dumfries And Galloway,UKM3,South Western Scotland,First ScotRail,,,," 6,791 "," 55,194 "," 1,369 "," 63,354 "," 6,791 "," 55,194 "," 1,369 "," 63,354 "," 126,708 "," 117,166 ", -   ,0,0,,
9972,ANL,Anniesland,Scotland,Glasgow City,Glasgow City,UKM3,South Western Scotland,First ScotRail,,Strathclyde,," 202,162 "," 160,895 "," 188,599 "," 551,656 "," 202,162 "," 160,895 "," 188,599 "," 551,656 "," 1,103,312 "," 1,047,958 ", -   ,0,0,,
2662,AFV,Ansdell & Fairhaven,North West,Lancashire,Fylde,UKD4,Lancashire,Northern Rail,,,," 11,770 "," 6,470 "," 2,518 "," 20,758 "," 11,770 "," 6,470 "," 2,518 "," 20,758 "," 41,516 "," 40,238 ", -   ,0,0,,
2052,APP,Appleby,North West,Cumbria,Eden,UKD1,Cumbria,Northern Rail,,,," 28,139 "," 4,035 "," 2,268 "," 34,442 "," 28,139 "," 4,035 "," 2,268 "," 34,442 "," 68,884 "," 70,808 ", -   ,0,0,,
5003,APD,Appledore,South East,Kent,Ashford,UKJ4,Kent,Southern,,,," 3,828 "," 5,520 "," 6,325 "," 15,673 "," 3,828 "," 5,520 "," 6,325 "," 15,673 "," 31,346 "," 34,182 ", -   ,0,0,,
3109,APF,Appleford,South East,Oxfordshire,Vale Of White Horse,UKJ1,"Berkshire, Buckinghamshire and Oxfordshire",First Great Western,,,," 1,044 "," 2,173 ", 673 ," 3,890 "," 1,044 "," 2,173 ", 673 ," 3,890 "," 7,780 "," 8,890 ", -   ,0,0,,
2396,APB,Appley Bridge,North West,Lancashire,West Lancashire,UKD4,Lancashire,Northern Rail,,,," 18,568 "," 76,367 "," 23,690 "," 118,625 "," 18,568 "," 76,367 "," 23,690 "," 118,625 "," 237,250 "," 226,086 ", -   ,0,0,,
1430,APS,Apsley,East,Hertfordshire,Dacorum,UKH2,Bedfordshire and Hertforshire,London Midland Trains,,,," 52,716 "," 71,705 "," 89,532 "," 213,953 "," 52,716 "," 71,705 "," 89,532 "," 213,953 "," 427,906 "," 401,244 ", -   ,0,0,,
9079,ARB,Arbroath,Scotland,Angus,Angus,UKM2,Eastern Scotland,First ScotRail,,,," 69,876 "," 87,422 "," 42,153 "," 199,451 "," 69,876 "," 87,422 "," 42,153 "," 199,451 "," 398,902 "," 404,212 ", 188 ,0,0,,
8613,ARD,Ardgay,Scotland,Highland,Highland,UKM4,Highlands and Islands,First ScotRail,,,," 3,570 ", 869 , 5 ," 4,444 "," 3,570 ", 869 , 5 ," 4,444 "," 8,888 "," 7,404 ", -   ,0,0,,
9962,AUI,Ardlui,Scotland,Argyll And Bute,Argyll And Bute,UKM4,Highlands and Islands,First ScotRail,,,, 844 , 282 , -   ," 1,126 ", 844 , 282 , -   ," 1,126 "," 2,252 "," 2,092 ", -   ,0,0,,
9453,ADS,Ardrossan Harbour,Scotland,North Ayrshire,North Ayrshire,UKM3,South Western Scotland,First ScotRail,ARDROSSAN BR,Strathclyde,," 31,813 "," 17,511 "," 7,611 "," 56,935 "," 31,813 "," 17,511 "," 7,611 "," 56,935 "," 113,870 "," 115,954 ", -   ,0,0,,
9569,ASB,Ardrossan South Beach,Scotland,North Ayrshire,North Ayrshire,UKM3,South Western Scotland,First ScotRail,ARDROSSAN BR,Strathclyde,," 32,608 "," 38,100 "," 46,904 "," 117,612 "," 32,608 "," 38,100 "," 46,904 "," 117,612 "," 235,224 "," 229,090 ", 251 ,0,0,,
